종목코드,년도,분기,배당금지급,유동자산,유동부채,영업이익(손실),수익(매출액),당기순이익(손실),자본총계,자산총계,부채총계,ATR,MARKETCAP,TSF_SLOPE,배당수익률,순이익률,자본회전율,AltmanZScore,1-부채비율,PER,PSR,PBR
007070,2020.0,1,62376764491.0,905916000000.0,1795360000000.0,88763360645.0,2141890000000.0,49386468207.0,2535770000000.0,7100350000000.0,4564580000000.0,0.035,3235786142311.46,-0.3,0.019277159165544115,0.023057425081119947,0.8446704551280282,1.2753503017059713,-0.8000765053612906,65.51969111759286,1.5107153692820172,1.2760566385403487
007540,2020.0,1,71600.0,142354000000.0,54885283098.0,10164551213.0,74423581533.0,8253961372.0,262317000000.0,344125000000.0,81807753365.0,0.036,86274004607.3836,-0.37,8.299139506255427e-07,0.11090518894659926,0.28371619655988745,1.6661916188521047,0.6881340005985125,10.452436196279258,1.1592294113006243,0.3288918502847399
007590,2020.0,1,2923805350.0,158922000000.0,49419776347.0,12337113049.0,65596851657.0,9069212040.0,143294000000.0,217713000000.0,74419354254.0,0.028,73534922419.4834,-0.24,0.03976077289265386,0.13825681890073152,0.4577780762418524,2.274915940980641,0.4806526843133697,8.108193092757748,1.1210129840375702,0.5131764359588576
007610,2020.0,1,446725475.0,75806723602.0,44682527267.0,-1923528967.0,20938425926.0,-2658423557.0,77417674682.0,163316000000.0,85898148519.0,0.047,39870014730.0046,-0.372,0.011204547528391355,-0.1269638685541753,0.2704605377519598,1.3078737143755024,-0.10954183100738035,-14.997615645189907,1.9041553014019341,0.5149976906784808
007700,2020.0,1,15337382000.0,329293000000.0,106379000000.0,17319525356.0,165981000000.0,13775902575.0,481171000000.0,628028000000.0,146858000000.0,0.062,1810993969020.31,-0.238,0.008469040903707169,0.08299686455076183,0.3449522103368657,8.620589075067523,0.694790417543867,131.4610029477731,10.910851055363626,3.763730010225721
007770,2020.0,1,0.0,48758276973.0,10214590543.0,-16146084.0,22331843386.0,399994294.0,93296092329.0,122776000000.0,29480117912.0,0.04,26746203876.4308,-0.386,0.0,0.017911387210012383,0.23936525987871848,1.3188485767309661,0.6840155125893044,66.86646354117941,1.1976711198502403,0.2866815048836006
008500,2020.0,1,0.0,27662880436.0,18331496365.0,-2855728972.0,8782288500.0,-1722931312.0,28116088087.0,56870532369.0,28754444282.0,0.036,12839994694.7197,-0.457,0.0,-0.19618249981197952,0.3123581229659277,1.291616134984258,-0.022704303423176198,-7.452412412085584,1.462032896632774,0.45667785130665145
009070,2020.0,1,63800000.0,109859000000.0,141610000000.0,3632161096.0,123349000000.0,3181348107.0,199270000000.0,433473000000.0,234203000000.0,0.05,59100006670.8995,-0.355,0.001079526104883077,0.02579143817136742,0.6190043659356652,1.2251070640138193,-0.1753048627490339,18.57703234074268,0.47912838102375777,0.296582559697393
009140,2020.0,1,0.0,45582612646.0,2078946676.0,-450111074.0,2839652076.0,493413957.0,54742663834.0,57254039379.0,2511375545.0,0.021,25368417496.2484,-0.224,0.0,0.17375859569917254,0.051872741973442785,7.090707304817863,0.9541239799251381,51.414065484670516,8.933635817801646,0.46341218566153125
009160,2020.0,1,17884306.0,315495000000.0,251494000000.0,1636844657.0,84853813269.0,3142767137.0,435637000000.0,707276000000.0,271639000000.0,0.042,143290745433.248,-0.246,0.00012481131245375095,0.03703742962071641,0.1947810063630959,1.4772107169500783,0.3764556270472894,45.59381563663334,1.6886777377817268,0.3289223491880809
009620,2020.0,1,825400000.0,154152000000.0,200682000000.0,2277413922.0,79104322455.0,-743689981.0,51363597002.0,308431000000.0,257068000000.0,0.103,27080245933.0832,-0.359,0.030479782275227837,-0.009401382350794575,1.5400853342089695,1.8547148868434657,-4.004867552208041,-36.41335317798667,0.3423358559007735,0.5272325591005821
010100,2020.0,1,1522521000.0,365580000000.0,347114000000.0,6292358789.0,219918000000.0,7366689404.0,235838000000.0,653135000000.0,417297000000.0,0.064,39433274128.6743,-0.511,0.03861005796860483,0.03349743724479124,0.9324960354141402,1.8409209808781948,-0.7694222305141665,5.35291661777713,0.1793089884805896,0.16720492087226954
010240,2020.0,1,1848404400.0,54008931282.0,23554987058.0,3784153268.0,28172159139.0,2904413609.0,69111541939.0,102987000000.0,33875897390.0,0.042,34688351883.2941,-0.442,0.053286025413337414,0.10309517260177933,0.40763320204699854,1.9587107383623117,0.50983733773586,11.94332369735639,1.2312990180178784,0.5019215520123229
011690,2020.0,1,0.0,63472607716.0,74454065585.0,-2254693244.0,29484000303.0,-29858709225.0,51311038035.0,135631000000.0,84320330655.0,0.072,219445116928.0,-0.819,0.0,-1.012708890182784,0.5746132105705704,3.0541361913144947,-0.6433175761808576,-7.349450884643859,7.442854248840563,4.276793106176542
011700,2020.0,1,0.0,58513554930.0,6877717287.0,776566848.0,10767983330.0,849014097.0,80794705796.0,90209201911.0,9414496115.0,0.044,38610862080.0,-0.395,0.0,0.07884615633037018,0.13327585296477562,3.493613241369739,0.8834763240704059,45.477292092595256,3.5857096818146728,0.4778885163279047
012320,2020.0,1,11038500.0,240159000000.0,87820086922.0,3260362073.0,61926625810.0,4927368985.0,415052000000.0,606709000000.0,191657000000.0,0.04,55932786665.593,-0.423,0.0001973529419514927,0.07956785826048222,0.1492020898827135,0.97256043691759,0.5382337634802385,11.351450811957612,0.903210629256679,0.13476091348937724
013570,2020.0,1,0.0,431209000000.0,242751000000.0,10072020037.0,196127000000.0,6412146920.0,481577000000.0,790070000000.0,308493000000.0,0.045,91723840153.9483,-0.475,0.0,0.032693851025101084,0.40725989820942443,1.5538030612807867,0.3594108522624627,14.304700328661262,0.4676757415039658,0.19046557487992222
014440,2020.0,1,70000000.0,75257808546.0,32273142142.0,70302146.0,24274364312.0,-70695704.0,146337000000.0,179686000000.0,33348753442.0,0.035,44400008939.8652,-0.373,0.001576576259135603,-0.0029123606736449806,0.1658798821350718,1.689262431696146,0.772109900831642,-628.0439464874017,1.8290904910707018,0.3034088038704998
015360,2020.0,1,2156000000.0,707072000000.0,395399000000.0,13031136156.0,402639000000.0,14907373765.0,612155000000.0,1603950000000.0,991798000000.0,0.029,175800021866.739,-0.26,0.012263934765800564,0.0370241674676323,0.6577402781975153,1.2583126310969899,-0.6201746289746879,11.792823111438167,0.43661945779405126,0.28718361104225587
015710,2020.0,1,0.0,67638920587.0,19940510476.0,141967459.0,18542403789.0,403868276.0,115628000000.0,143328000000.0,27700075207.0,0.044,68193648335.4256,-0.433,0.0,0.02178079393565945,0.16036257471373716,2.3708292534003332,0.7604379976562771,168.8512131005447,3.677713478329085,0.5897679860423645
015760,2020.0,1,20724000000.0,19741600000000.0,23095800000000.0,430554000000.0,15093100000000.0,53608000000.0,68822100000000.0,199094000000000.0,130272000000000.0,0.032,12357809126561.7,-0.365,0.0016769962853250525,0.0035518216933565668,0.21930600780853823,0.4212572569118467,-0.8928803393096112,230.52173419194335,0.8187720962931206,0.17956190065039812
016250,2020.0,1,12078448500.0,692550000000.0,686072000000.0,20260667704.0,326162000000.0,11248410977.0,516866000000.0,2058950000000.0,1542080000000.0,0.04,71680390728.4551,-0.226,0.16850422238567955,0.034487190344062155,0.6310378318558388,1.0889077519502386,-1.9835199065134872,6.372490378865279,0.21976928866163162,0.1386816621751216
018120,2020.0,1,0.0,63335543306.0,22055663220.0,4203664083.0,31737922010.0,3242480075.0,73705610681.0,99250218142.0,25544607461.0,0.047,168507523072.0,-0.17,0.0,0.10216422089569563,0.43060388099031754,5.49438497089122,0.6534238408042259,51.968715049698496,5.309343284002859,2.2862238236015084
019540,2020.0,1,0.0,105840000000.0,232587000000.0,-7061394020.0,29591405388.0,-4172427823.0,115454000000.0,356873000000.0,241419000000.0,0.078,26959432492.1379,-0.393,0.0,-0.14100134036526754,0.25630472212309663,1.3529461828084146,-1.0910405875933273,-6.461329862562826,0.9110561711634884,0.23350799878859027
020760,2020.0,1,0.0,24115143129.0,68277067635.0,-7881099847.0,15138954579.0,-7444473865.0,42833200330.0,119787000000.0,76954286705.0,0.084,104131624960.0,-0.392,0.0,-0.4917429288893304,0.3534397257819843,1.7607263669638973,-0.7966037118898606,-13.987774938612132,6.878389416957904,2.4311237124489056
023410,2020.0,1,0.0,365275000000.0,634083000000.0,22455289502.0,322119000000.0,17477123670.0,791240000000.0,4289760000000.0,3498520000000.0,0.038,259764432076.8,-0.366,0.0,0.0542567301835657,0.40710656690763863,0.44603333627277575,-3.421566149335221,14.863111172160057,0.8064238125562292,0.32830042980233554
023900,2020.0,1,2016000000.0,66357035045.0,22709711008.0,2151893091.0,31204462580.0,2066960115.0,147309000000.0,179283000000.0,31974197741.0,0.06,135449990826.667,-0.402,0.01488372193823062,0.06623924734165379,0.2118299803813752,3.3768842715729845,0.7829447098208527,65.5310133193678,4.340724999810813,0.9194969258423357
025880,2020.0,1,0.0,51549631820.0,41963993170.0,233014976.0,16536993221.0,367387480.0,52544974245.0,104170000000.0,51625398322.0,0.056,25658849280.0,-0.462,0.0,0.022216099087073574,0.3147207408246775,1.6221544379843336,0.017500739817900013,69.84138185656191,1.551603059703522,0.4883251268558603
032190,2020.0,1,0.0,27153600000000.0,25603200000000.0,31970764476.0,2123800000000.0,17497223819.0,2642810000000.0,31380000000000.0,28737200000000.0,0.04,237460086347.27,-0.341,0.0,0.008238640088049722,0.8036143347421872,2.256650168973632,-9.873729098951495,13.571300727685456,0.11180906222208777,0.08985170514124034
033290,2020.0,1,0.0,182975000000.0,84847239281.0,18104553972.0,99845545103.0,14142470130.0,255578000000.0,349606000000.0,94028108516.0,0.052,272077053996.667,-0.238,0.0,0.14164347658586793,0.3906656484634828,3.1604511383137255,0.6320962347463397,19.23829794199233,2.7249794040985416,1.0645562979523207
033500,2020.0,1,0.0,170846000000.0,148054000000.0,7075882689.0,89991413536.0,6102662020.0,95113540489.0,294121000000.0,199008000000.0,0.05,190133270563.477,-0.447,0.0,0.06781382556635475,0.9461472370109871,2.3603736539584372,-1.092320388630844,31.155792331340184,2.112793466539076,1.9990250603332562
033830,2020.0,1,0.0,88451343742.0,10261084809.0,-800271024.0,7762031797.0,-347239683.0,108639000000.0,120625000000.0,11986777331.0,0.072,83899899767.4667,-0.453,0.0,-0.044735668711664775,0.07144793119413838,5.241100381309826,0.8896641415053526,-241.61956099777544,10.80901263505436,0.772287116875004
034590,2020.0,1,5152498750.0,225021000000.0,148773000000.0,4839960305.0,199409000000.0,3384062599.0,183198000000.0,419951000000.0,236753000000.0,0.021,102806803402.105,-0.213,0.05011826629651342,0.016970460706387375,1.0884889573030274,1.9123733730123416,-0.29233397744516854,30.37969907308591,0.5155574893916773,0.5611786340577135
036190,2020.0,1,0.0,186728000000.0,48528710576.0,3332805897.0,49594876577.0,8035447687.0,236326000000.0,289343000000.0,53016687030.0,0.032,143099849420.172,-0.293,0.0,0.16202172969468584,0.2098578936596058,2.838135233850163,0.7756629104288144,17.808572091345134,2.8853756536322472,0.6055180551914993
036530,2020.0,1,7577903000.0,1207590000000.0,400470000000.0,28409877261.0,334960000000.0,42254418673.0,1623370000000.0,2223980000000.0,600604000000.0,0.039,211950375027.149,-0.229,0.035753194581653075,0.12614765546035347,0.20633620185170357,1.3081853035228594,0.6300264265078201,5.016052325021866,0.6327632404679633,0.13056148115233254
037370,2020.0,1,306283790.0,28245516153.0,20151644763.0,-2115040415.0,8761556568.0,-2129515547.0,33755695230.0,87598111531.0,53842416301.0,0.048,57614820415.2099,-0.351,0.005316059093697067,-0.24305219403338332,0.2595578763317327,1.3713787185640776,-0.5950616906017137,-27.055365008429263,6.575865825672759,1.7068177687540373
038010,2020.0,1,0.0,74704709312.0,82241062147.0,90350390.0,32455725445.0,-133207125.0,75560279920.0,168792000000.0,93231912995.0,0.04,25020009863.6351,-0.35,0.0,-0.004104271994343031,0.42953421399924324,1.5682944192489363,-0.23387463749088777,-187.82786479052905,0.7708966452170177,0.3311273299881122
038110,2020.0,1,542607220.0,216345000000.0,434649000000.0,-3468025535.0,271585000000.0,-4616372803.0,112109000000.0,620853000000.0,508744000000.0,0.054,38945100480.2335,-0.361,0.013932618309083555,-0.016997893120017673,2.4225084515962143,1.8632098760849312,-3.53794075408754,-8.436298830745342,0.1433993058535394,0.3473860303832297
038540,2020.0,1,10944855200.0,2669210000000.0,2577210000000.0,7137353326.0,112967000000.0,3606994817.0,611116000000.0,3556050000000.0,2944930000000.0,0.052,337502582720.522,-0.355,0.032428952429863864,0.03192963269804456,0.18485361208019427,2.0225222144587853,-3.818937812133867,93.56891258336454,2.9876210107422696,0.5522689205401917
038680,2020.0,1,0.0,126566000000.0,74895042668.0,-2485417389.0,52876024991.0,-2761346420.0,74242794790.0,153847000000.0,79603892761.0,0.05,90237639257.3276,-0.445,0.0,-0.05222303341580626,0.712204128906554,2.6392808209135272,-0.07221034695911133,-32.67885499760208,1.7065889365300608,1.2154345718160575
039440,2020.0,1,3762848000.0,144906000000.0,72639428560.0,1981483845.0,55641950346.0,2830471552.0,165526000000.0,242632000000.0,77105517796.0,0.065,201832785144.861,-0.47,0.018643393328290542,0.05086938064534392,0.3361523286130276,2.9626511333073102,0.534178813020311,71.30712372016131,3.6273492192455183,1.2193383346123188
040910,2020.0,1,2473086150.0,180207000000.0,90080120691.0,8352078336.0,46257671071.0,7374376866.0,151880000000.0,251747000000.0,99867196330.0,0.065,243735891485.202,-0.285,0.010146581756713288,0.1594195448076323,0.3045672311759284,3.1175281286447114,0.3424598608770082,33.051727069843786,5.269091284580594,1.6047946178201824
041520,2020.0,1,0.0,181552000000.0,31330158569.0,-538575316.0,33365476952.0,4269973026.0,208454000000.0,248505000000.0,40051523208.0,0.043,35164488779.572,-0.491,0.0,0.12797578263733012,0.1600615817014785,1.7070982376364483,0.807863973787982,8.235295297055583,1.0539183608902123,0.16869226323655898
041930,2020.0,1,732564950.0,129320000000.0,113217000000.0,3324694392.0,62897096727.0,-2997525216.0,109469000000.0,236495000000.0,127026000000.0,0.06,54273010322.9217,-0.362,0.013497776254555905,-0.04765760856992378,0.574565372178425,1.8951063157277375,-0.1603833048625638,-18.10593953746466,0.8628857792671976,0.4957842889121276
042600,2020.0,1,489262760.0,59417868746.0,31799170774.0,-35463133.0,37738211494.0,418033968.0,83601688821.0,134225000000.0,50623417699.0,0.045,31555870048.5246,-0.293,0.01550465125023151,0.011077206668007126,0.45140489416190477,1.5171732490503802,0.3944689585471167,75.48637781637066,0.8361782076912063,0.37745541627322937
043650,2020.0,1,35200000.0,72873312836.0,33711679191.0,169519485.0,25299668625.0,624171531.0,200198000000.0,246567000000.0,46369359747.0,0.018,72328413184.0,0.128,0.0004866690481713306,0.02467113464020717,0.12637323362371253,1.5868517430261389,0.7683825025874385,115.87906463487839,2.858868005588354,0.3612850435829058
045520,2020.0,1,0.0,71079389558.0,49756090368.0,5616634566.0,42765853693.0,5174986683.0,44298098216.0,130954000000.0,86655458340.0,0.061,135525029402.034,-0.33,0.0,0.12100744486826535,0.9654106026058119,2.589749461935648,-0.9561891329389165,26.188478870339537,3.169000913086344,3.0593564556191306
049120,2020.0,1,654679250.0,34136248489.0,44394852024.0,-1238740150.0,19066097831.0,-167315856.0,32996592027.0,88720980690.0,55724388663.0,0.059,45810907694.5455,-0.467,0.014290903257477906,-0.008775568943528517,0.5778202129298339,1.8243368008984389,-0.6887922430717273,-273.79896197372653,2.4027416674669797,1.3883527019111543
049720,2020.0,1,3475316500.0,17083143943.0,18752422227.0,1687657241.0,31610240173.0,1757739508.0,20448048049.0,48542360947.0,28094312898.0,0.03,68925977290.6213,-0.073,0.05042099708425728,0.055606648300678824,1.545880569981636,3.201087349985017,-0.37393617379405253,39.21285092410935,2.180495210203897,3.370785178392228
049960,2020.0,1,4340789400.0,66597479735.0,4358323283.0,1705267718.0,12070710586.0,3007463406.0,100870000000.0,105746000000.0,4876456572.0,0.049,128780068720.413,-0.341,0.033706997077506136,0.24915379956902894,0.11966601155943293,16.825930230523017,0.951656026846436,42.82016149007566,10.668805933411765,1.2766992329288704
051160,2020.0,1,0.0,27701217906.0,29115002341.0,2045571208.0,56942002317.0,1597319462.0,11097503769.0,51066164394.0,39968660625.0,0.1,105690265179.346,0.26,0.0,0.028051691141937965,5.131064021448047,4.282997960236765,-2.601590182528191,66.16726816000318,1.8561037701301948,9.52378727498912
052260,2020.0,1,5250000000.0,76712414265.0,32771090010.0,1329077660.0,21739013749.0,913332533.0,152401000000.0,215749000000.0,63347919156.0,0.078,345750420854.414,-0.102,0.015184363296004868,0.0420135220275121,0.14264351119087146,4.035193975132411,0.584333966601269,378.55918667293764,15.904604728000534,2.268687459036654
052460,2020.0,1,0.0,32290186824.0,11716448734.0,-1992909696.0,16335278186.0,-2052033477.0,28377721948.0,40207012038.0,11829290090.0,0.069,33671369971.0506,-0.319,0.0,-0.12561974480230623,0.57563740373287,3.322257522572286,0.5831487068737841,-16.40878199525134,2.06126700676015,1.186542388171637
053260,2020.0,1,1514099000.0,96593050506.0,23316890232.0,740248940.0,43892507596.0,1485890517.0,108764000000.0,134388000000.0,25624057420.0,0.049,51480034056.3177,-0.262,0.029411383029459896,0.03385294207103838,0.40355731304475745,2.655639123395581,0.764406812732154,34.645913320892205,1.1728660966503806,0.47331894040575245
053610,2020.0,1,4141454800.0,132683000000.0,19015572283.0,413680439.0,16015717580.0,-1772755398.0,195946000000.0,217072000000.0,21125731435.0,0.052,146849938897.455,-0.278,0.0282019511284371,-0.11068847768730447,0.08173536372265829,5.106938932489982,0.8921859520735305,-82.83711281495981,9.169113913499404,0.7494398335467225
053690,2020.0,1,0.0,154195000000.0,66246126348.0,2397633381.0,52415363352.0,1483418255.0,123232000000.0,225513000000.0,102281000000.0,0.037,71881436879.7257,-0.377,0.0,0.02830121094530956,0.4253389002207219,1.9209458858367046,0.1700126590495975,48.4566214804507,1.3713810662152537,0.583301714487517
053700,2020.0,1,0.0,332808000000.0,450614000000.0,162724370.0,212694000000.0,654371251.0,210415000000.0,751269000000.0,540854000000.0,0.055,74821978196.8284,-0.429,0.0,0.0030765853808758124,1.0108309768790247,1.7381506744579855,-1.5704156072523348,114.34178699398333,0.3517822702889052,0.3555924159248552
053800,2020.0,1,0.0,175965000000.0,60185313049.0,2952795002.0,40408972912.0,3271994459.0,202060000000.0,266807000000.0,64746385525.0,0.053,569788586266.873,-0.401,0.0,0.0809719778358518,0.19998501886568346,6.5753972631493385,0.6795685166534693,174.14106087484456,14.100546121469632,2.8198894066877656
054210,2020.0,1,0.0,251182000000.0,256178000000.0,-2678974483.0,140280000000.0,-4885069412.0,151122000000.0,442865000000.0,291743000000.0,0.053,83334529305.6,-0.463,0.0,-0.03482370553179356,0.9282566403303292,1.9586283036729508,-0.9305130953798917,-17.059026653928743,0.594058520855432,0.5514387667288682
054620,2020.0,1,0.0,50929606047.0,43212934062.0,-2356519723.0,5235574241.0,-599659468.0,214208000000.0,296237000000.0,82028842483.0,0.076,131542689694.476,-0.409,0.0,-0.11453556771366963,0.024441543924596652,1.3641198375198527,0.6170598554535778,-219.3623159710971,25.124787394734987,0.6140881431372962
054800,2020.0,1,0.0,527752000000.0,101359000000.0,12530182766.0,132928000000.0,14346581243.0,615075000000.0,807402000000.0,192327000000.0,0.041,98821032618.6667,-0.3,0.0,0.10792745879724362,0.21611673373165874,1.4842632371138909,0.6873113034995733,6.888124142250515,0.7434177345530415,0.16066501258979263
058730,2020.0,1,0.0,100897000000.0,72641034804.0,-1770065729.0,41993067709.0,-1715203116.0,120738000000.0,205350000000.0,84612316277.0,0.05,95723896441.5091,-0.323,0.0,-0.040844911066890116,0.3478032409763289,1.9396934997338042,0.2992072398333582,-55.809073309489655,2.279516636051656,0.7928253507092426
059090,2020.0,1,2109999600.0,188101000000.0,139382000000.0,11383008379.0,67837494584.0,5482525247.0,174512000000.0,429943000000.0,255431000000.0,0.116,375938965147.826,0.845,0.005612612140830653,0.08081851018556184,0.38872681869441644,2.1070864336681874,-0.46368731090125603,68.57040290941427,5.541757805962576,2.1542298818867813
060380,2020.0,1,980000000.0,85912405607.0,75608942637.0,300115140.0,47990998133.0,-2790870245.0,50364974390.0,144623000000.0,94257560047.0,0.042,22667192919.9487,-0.306,0.043234290344682784,-0.05815403624791285,0.9528645395782956,1.9277450482288545,-0.8714902804698914,-8.121908555425765,0.47232176453446345,0.4500545004888523
