종목코드,년도,분기,배당금지급,유동자산,유동부채,영업이익(손실),수익(매출액),당기순이익(손실),자본총계,자산총계,부채총계,ATR,MARKETCAP,TSF_SLOPE
052690,2023.0,2.0,10766311915.0,513189000000.0,339334000000.0,11167090384.0,120068000000.0,20476551753.0,546128000000.0,928017000000.0,381889000000.0,0.036,2656289402733.5,-0.051
052860,2023.0,2.0,0.0,39032844394.0,24967441918.0,695500685.0,18747369223.0,867581583.0,45299072522.0,71837241947.0,26538169425.0,0.034,51355708886.4865,0.166
053160,2023.0,2.0,269801700.0,39309051999.0,3342283738.0,146098021.0,6524870222.0,551939897.0,59132442486.0,64567999970.0,5435557484.0,0.027,57600003084.8536,0.295
053260,2023.0,2.0,1944359520.0,119299000000.0,27851633538.0,2276068884.0,61625345584.0,5284177678.0,128077000000.0,157733000000.0,29656073450.0,0.038,132350422782.21,0.003
053280,2023.0,2.0,4997130400.0,93865402341.0,179038000000.0,-561616041.0,155377000000.0,-502543949.0,177351000000.0,376890000000.0,199539000000.0,0.032,129000043693.292,0.107
053610,2023.0,2.0,3677750000.0,212675000000.0,31045779327.0,6046690880.0,37751208387.0,7528981902.0,306608000000.0,346078000000.0,39469680685.0,0.066,564299681551.059,0.944
053690,2023.0,2.0,6888117817.0,256822000000.0,123118000000.0,6969820276.0,105167000000.0,5839661749.0,201700000000.0,423739000000.0,222039000000.0,0.061,333109534984.258,-0.06
053800,2023.0,2.0,9554361300.0,255742000000.0,84435030158.0,4376016870.0,59106173235.0,4635102262.0,261017000000.0,354990000000.0,93973795512.0,0.022,639885265217.692,0.045
054040,2023.0,2.0,3729644250.0,100396000000.0,38354641967.0,4144373187.0,112579000000.0,4311944994.0,128866000000.0,168649000000.0,39783239393.0,0.026,67579761416.4929,0.042
054210,2023.0,2.0,4305769800.0,304582000000.0,290500000000.0,5548445845.0,184295000000.0,9113655270.0,265875000000.0,592306000000.0,326431000000.0,0.032,318416381831.15,-0.081
054450,2023.0,2.0,1776186620.0,122358000000.0,71856769820.0,5449724768.0,48266176228.0,20520805965.0,202122000000.0,323663000000.0,121541000000.0,0.047,283045724708.906,0.228
054540,2023.0,2.0,606500000.0,65842464669.0,39380289494.0,1407008373.0,23488542826.0,3225836344.0,66000587406.0,106930000000.0,40929684055.0,0.029,53560013985.9465,0.161
054620,2023.0,2.0,0.0,85093811401.0,96122019656.0,-6764196541.0,8597861567.0,3723357155.0,213967000000.0,365425000000.0,151458000000.0,0.055,195784509398.204,-0.317
054800,2023.0,2.0,11489412850.0,796520000000.0,254700000000.0,18274869648.0,193729000000.0,36822584350.0,823815000000.0,1175500000000.0,351686000000.0,0.025,133072162973.781,-0.087
058820,2023.0,2.0,0.0,137962000000.0,23759658339.0,2481439056.0,25433042882.0,6394848061.0,190590000000.0,241018000000.0,50428221069.0,0.027,300701673595.833,0.003
060380,2023.0,2.0,1168419750.0,96365730377.0,61503536792.0,2157566566.0,52677292464.0,4050670201.0,83148274242.0,150160000000.0,67012176859.0,0.041,52992996969.4682,0.176
060720,2023.0,2.0,6803232600.0,247393000000.0,187018000000.0,6041664703.0,75517551581.0,21759609630.0,246421000000.0,435988000000.0,189567000000.0,0.041,509065169432.947,0.197
061040,2023.0,2.0,0.0,167991000000.0,98905665570.0,-1414392630.0,62510725427.0,-3826041816.0,238197000000.0,386033000000.0,147835000000.0,0.026,146166617287.018,-0.13
065530,2023.0,2.0,2391937950.0,34057665485.0,36493748032.0,99689670.0,14954099692.0,149355524.0,73423291409.0,124695000000.0,51271556139.0,0.034,148007981575.211,0.002
065710,2023.0,2.0,7470873000.0,59706317086.0,21371702642.0,3683179852.0,21649036703.0,8269069468.0,90937019216.0,113325000000.0,22388049558.0,0.015,95017478056.2127,-0.009
066620,2023.0,2.0,2749074400.0,211315000000.0,135211000000.0,4729815006.0,104878000000.0,5692785506.0,202282000000.0,341449000000.0,139166000000.0,0.024,121125006856.806,-0.085
067080,2023.0,2.0,1751665000.0,61217575198.0,96710979270.0,942833420.0,34988930999.0,1475448193.0,81105984522.0,213432000000.0,132326000000.0,0.044,168108362956.8,-0.12
067900,2023.0,2.0,904982950.0,60650454928.0,59091466267.0,9811657929.0,29987414135.0,11965460142.0,235346000000.0,343920000000.0,108575000000.0,0.019,158337066235.571,0.063
068790,2023.0,2.0,3433194480.0,216033000000.0,64541401172.0,8239931607.0,42101496110.0,17176712985.0,343450000000.0,408619000000.0,65168597477.0,0.03,153090148974.177,-0.079
069260,2023.0,2.0,38370877000.0,473471000000.0,135795000000.0,43726439445.0,279945000000.0,85417481724.0,791337000000.0,978594000000.0,187256000000.0,0.029,903416832910.222,0.024
069640,2023.0,2.0,0.0,135204000000.0,143095000000.0,-1862584188.0,79419586148.0,5881344277.0,101570000000.0,265505000000.0,163935000000.0,0.065,82190776521.0764,0.219
071280,2023.0,2.0,745803450.0,79015111602.0,24935061441.0,4211565860.0,35756555655.0,5503732967.0,109192000000.0,135234000000.0,26042024036.0,0.038,105087660986.182,-0.227
072950,2023.0,2.0,303625200.0,50276563288.0,9490299195.0,668982031.0,18751245448.0,1665515203.0,69247104424.0,81500294082.0,12253189658.0,0.037,40907263314.677,0.056
